<string>La squadra di supporto oggi si sta dando da fare.
<string>Solo i Felyne più coraggiosi chiedono di partire<lf>per le Terre proibite con la squadra di supporto.
<string>Come va con l'indagine nella foresta?<lf>Vedi di non inzupparti.
<string>Ho visto dei Wudwud nella foresta durante<lf>l'abbondanza. Sembravano impazziti.
<string>C'è un detto che amo molto: "Il giardino è sempre<lf>più verde dopo che cade la pioggia".
<string>Sono a capo della squadra di supporto<lf>qui al campo base nella foresta.
<string>Per un giorno asciutto e produttivo, evitiamo le<lf>nuvole di pioggia e le pozzanghere rosse.
<string>C'è un tribù di Lynian come noi che vive qui?<lf>Mi piacerebbe parlare con uno di loro...
<string>Questo Spettro bianco... Che aspetto aveva?
<string>Congratulazioni per aver finito una mole<lf>di lavoro enorme, <LSNR "cacciatore" "cacciatrice">.
<string>I Wudwud sono sempre uguali, ma abbiamo visto<lf>cosa hai fatto.
<string>Lo Yian Kut-Ku vive nella Foresta cremisi, eh?<lf>Se ne vedono molti a ovest.
<string>Non so perché, ma mi sento le vibrisse pesanti...<lf>Non è l'umidità, vero?
<string>I Wudwud hanno descritto perfettamente il clima.<lf>È come se il suolo fosse caduto dal cielo.
<string><ITALIC>Davvero</ITALIC> un ottimo lavoro là fuori.
<string>Ooh, le vibrisse mi vibrano!
<string>Vederti mi ha messo voglia di dare un'occhiata<lf>agli altri campi base fuori della foresta.
<string>...<ITALIC>Non</ITALIC> lo farò!
<string>Considerato il mio amore per questa foresta, sono<lf>curiosa di sapere come sono gli altri campi base.
<string><COLOR FF0000>#Rejected#</COLOR> Dia_NPC310_22_002_Conversation_300_t01
<string><COLOR FF0000>#Rejected#</COLOR> Dia_NPC310_22_002_Conversation_301_t01
<string><COLOR FF0000>#Rejected#</COLOR> Dia_NPC310_22_002_Conversation_302_t01
<string><COLOR FF0000>#Rejected#</COLOR> Dia_NPC310_22_002_Conversation_303_t01
<string><COLOR FF0000>#Rejected#</COLOR> Dia_NPC310_22_002_Conversation_304_t01
<string><COLOR FF0000>#Rejected#</COLOR> Dia_NPC310_22_002_Conversation_305_t01
<string><COLOR FF0000>#Rejected#</COLOR> Dia_NPC310_22_002_Conversation_306_t01
<string><COLOR FF0000>#Rejected#</COLOR> Dia_NPC310_22_002_Conversation_307_t01
<string><COLOR FF0000>#Rejected#</COLOR> Dia_NPC310_22_002_Conversation_308_t01
<string><COLOR FF0000>#Rejected#</COLOR> Dia_NPC310_22_002_Conversation_309_t01
<string><COLOR FF0000>#Rejected#</COLOR> Dia_NPC310_22_002_Conversation_310_t01
<string><COLOR FF0000>#Rejected#</COLOR> Dia_NPC310_22_002_Conversation_311_t01
<string><COLOR FF0000>#Rejected#</COLOR> Dia_NPC310_22_002_Conversation_312_t01
<string><COLOR FF0000>#Rejected#</COLOR> Dia_NPC310_22_002_Conversation_313_t01
